###Distance (mm)	Counts
0.0	332.0
-0.1	361.0
-0.2	320.0
-0.3	335.0
-0.4	366.0
-0.5	401.0
-0.6	367.0
-0.7	346.0
-0.8	357.0
-0.9	381.0
-1.0	365.0
-1.1	376.0
-1.2	391.0
-1.3	353.0
-1.4	399.0
-1.5	398.0
-1.6	431.0
-1.7	443.0
-1.8	462.0
-1.9	414.0
-2.0	421.0
-2.1	454.0
-2.2	451.0
-2.3	482.0
-2.4	483.0
-2.5	509.0
-2.6	437.0
-2.7	480.0
-2.8	483.0
-2.9	536.0
-3.0	491.0
-3.1	479.0
-3.2	509.0
-3.3	496.0
-3.4	521.0
-3.5	558.0
-3.6	538.0
-3.7	554.0
-3.8	566.0
-3.9	559.0
-4.0	616.0
-4.1	592.0
-4.2	613.0
-4.3	589.0
-4.4	640.0
-4.5	598.0
-4.6	612.0
-4.7	660.0
-4.8	657.0
-4.9	664.0
-5.0	696.0
-5.1	699.0
-5.2	734.0
-5.3	720.0
-5.4	764.0
-5.5	767.0
-5.6	741.0
-5.7	757.0
-5.8	821.0
-5.9	829.0
-6.0	901.0
-6.1	881.0
-6.2	972.0
-6.3	933.0
-6.4	973.0
-6.5	969.0
-6.6	1002.0
-6.7	1073.0
-6.8	1041.0
-6.9	1072.0
-7.0	1056.0
-7.1	1204.0
-7.2	1217.0
-7.3	1194.0
-7.4	1252.0
-7.5	1334.0
-7.6	1376.0
-7.7	1442.0
-7.8	1459.0
-7.9	1588.0
-8.0	1648.0
-8.1	1656.0
-8.2	1730.0
-8.3	1870.0
-8.4	2014.0
-8.5	2090.0
-8.6	2132.0
-8.7	2302.0
-8.8	2405.0
-8.9	2501.0
-9.0	2659.0
-9.1	2729.0
-9.2	2945.0
-9.3	2979.0
-9.4	3251.0
-9.5	3348.0
-9.6	3338.0
-9.7	3567.0
-9.8	3647.0
-9.9	3775.0
-10.0	3975.0
-10.1	4157.0
-10.2	4243.0
-10.3	4487.0
-10.4	4412.0
-10.5	4632.0
-10.6	4603.0
-10.7	4573.0
-10.8	4805.0
-10.9	4706.0
-11.0	4690.0
-11.1	4767.0
-11.2	4720.0
-11.3	4626.0
-11.4	4474.0
-11.5	4429.0
-11.6	4204.0
-11.7	4090.0
-11.8	3932.0
-11.9	3830.0
-12.0	3584.0
-12.1	3600.0
-12.2	3288.0
-12.3	3286.0
-12.4	2969.0
-12.5	2732.0
-12.6	2705.0
-12.7	2524.0
-12.8	2391.0
-12.9	2251.0
-13.0	2019.0
-13.1	1983.0
-13.2	1886.0
-13.3	1837.0
-13.4	1627.0
-13.5	1601.0
-13.6	1470.0
-13.7	1445.0
-13.8	1487.0
-13.9	1338.0
-14.0	1285.0
-14.1	1279.0
-14.2	1209.0
-14.3	1143.0
-14.4	1149.0
-14.5	1074.0
-14.6	1083.0
-14.7	1047.0
-14.8	966.0
-14.9	974.0
-15.0	898.0
-15.1	968.0
-15.2	957.0
-15.3	896.0
-15.4	846.0
-15.5	835.0
-15.6	886.0
-15.7	847.0
-15.8	809.0
-15.9	766.0
-16.0	762.0
-16.1	804.0
-16.2	787.0
-16.3	745.0
-16.4	771.0
-16.5	734.0
-16.6	699.0
-16.7	736.0
-16.8	719.0
-16.9	720.0
-17.0	706.0
-17.1	683.0
-17.2	671.0
-17.3	669.0
-17.4	631.0
-17.5	633.0
-17.6	629.0
-17.7	591.0
-17.8	588.0
-17.9	570.0
-18.0	585.0
-18.1	576.0
-18.2	569.0
-18.3	569.0
-18.4	599.0
-18.5	530.0
-18.6	525.0
-18.7	543.0
-18.8	528.0
-18.9	511.0
-19.0	555.0
-19.1	494.0
-19.2	472.0
-19.3	527.0
-19.4	483.0
-19.5	467.0
-19.6	464.0
-19.7	458.0
-19.8	479.0
-19.9	443.0
-20.0	445.0
