#Distance (mm)	Counts
0.0	319.0
-0.1	347.0
-0.2	330.0
-0.3	327.0
-0.4	335.0
-0.5	348.0
-0.6	384.0
-0.7	348.0
-0.8	366.0
-0.9	362.0
-1.0	389.0
-1.1	364.0
-1.2	385.0
-1.3	408.0
-1.4	393.0
-1.5	409.0
-1.6	404.0
-1.7	404.0
-1.8	422.0
-1.9	447.0
-2.0	427.0
-2.1	445.0
-2.2	455.0
-2.3	477.0
-2.4	451.0
-2.5	454.0
-2.6	475.0
-2.7	473.0
-2.8	484.0
-2.9	492.0
-3.0	491.0
-3.1	518.0
-3.2	523.0
-3.3	532.0
-3.4	534.0
-3.5	583.0
-3.6	600.0
-3.7	542.0
-3.8	594.0
-3.9	564.0
-4.0	636.0
-4.1	611.0
-4.2	598.0
-4.3	632.0
-4.4	657.0
-4.5	686.0
-4.6	634.0
-4.7	693.0
-4.8	657.0
-4.9	671.0
-5.0	690.0
-5.1	712.0
-5.2	703.0
-5.3	720.0
-5.4	725.0
-5.5	783.0
-5.6	817.0
-5.7	817.0
-5.8	874.0
-5.9	821.0
-6.0	876.0
-6.1	840.0
-6.2	866.0
-6.3	954.0
-6.4	1009.0
-6.5	997.0
-6.6	1010.0
-6.7	1059.0
-6.8	1059.0
-6.9	1163.0
-7.0	1177.0
-7.1	1214.0
-7.2	1279.0
-7.3	1292.0
-7.4	1308.0
-7.5	1367.0
-7.6	1479.0
-7.7	1445.0
-7.8	1541.0
-7.9	1773.0
-8.0	1708.0
-8.1	1816.0
-8.2	1915.0
-8.3	2147.0
-8.4	2120.0
-8.5	2231.0
-8.6	2346.0
-8.7	2360.0
-8.8	2542.0
-8.9	2721.0
-9.0	2816.0
-9.1	2906.0
-9.2	3187.0
-9.3	3211.0
-9.4	3384.0
-9.5	3537.0
-9.6	3578.0
-9.7	3771.0
-9.8	3871.0
-9.9	3820.0
-10.0	4091.0
-10.1	4214.0
-10.2	4265.0
-10.3	4298.0
-10.4	4402.0
-10.5	4426.0
-10.6	4354.0
-10.7	4426.0
-10.8	4601.0
-10.9	4497.0
-11.0	4290.0
-11.1	4215.0
-11.2	4220.0
-11.3	4043.0
-11.4	3810.0
-11.5	3820.0
-11.6	3723.0
-11.7	3634.0
-11.8	3576.0
-11.9	3301.0
-12.0	3247.0
-12.1	3076.0
-12.2	2927.0
-12.3	2736.0
-12.4	2628.0
-12.5	2490.0
-12.6	2350.0
-12.7	2148.0
-12.8	2056.0
-12.9	1986.0
-13.0	1911.0
-13.1	1787.0
-13.2	1726.0
-13.3	1632.0
-13.4	1532.0
-13.5	1485.0
-13.6	1411.0
-13.7	1321.0
-13.8	1249.0
-13.9	1248.0
-14.0	1273.0
-14.1	1197.0
-14.2	1155.0
-14.3	1025.0
-14.4	1054.0
-14.5	1009.0
-14.6	919.0
-14.7	990.0
-14.8	983.0
-14.9	1000.0
-15.0	924.0
-15.1	864.0
-15.2	904.0
-15.3	832.0
-15.4	877.0
-15.5	830.0
-15.6	753.0
-15.7	834.0
-15.8	798.0
-15.9	783.0
-16.0	766.0
-16.1	731.0
-16.2	726.0
-16.3	710.0
-16.4	761.0
-16.5	643.0
-16.6	709.0
-16.7	710.0
-16.8	645.0
-16.9	649.0
-17.0	642.0
-17.1	650.0
-17.2	622.0
-17.3	626.0
-17.4	616.0
-17.5	615.0
-17.6	574.0
-17.7	584.0
-17.8	627.0
-17.9	558.0
-18.0	571.0
-18.1	544.0
-18.2	554.0
-18.3	534.0
-18.4	505.0
-18.5	523.0
-18.6	542.0
-18.7	532.0
-18.8	524.0
-18.9	518.0
-19.0	506.0
-19.1	489.0
-19.2	464.0
-19.3	498.0
-19.4	484.0
-19.5	498.0
-19.6	458.0
-19.7	511.0
-19.8	458.0
-19.9	447.0
-20.0	431.0
