##Distance (mm)	Counts
0.0	348.0
-0.1	337.0
-0.2	329.0
-0.3	332.0
-0.4	344.0
-0.5	382.0
-0.6	344.0
-0.7	381.0
-0.8	393.0
-0.9	361.0
-1.0	384.0
-1.1	395.0
-1.2	399.0
-1.3	352.0
-1.4	390.0
-1.5	418.0
-1.6	392.0
-1.7	410.0
-1.8	436.0
-1.9	411.0
-2.0	407.0
-2.1	427.0
-2.2	454.0
-2.3	448.0
-2.4	467.0
-2.5	474.0
-2.6	466.0
-2.7	450.0
-2.8	435.0
-2.9	460.0
-3.0	456.0
-3.1	464.0
-3.2	527.0
-3.3	485.0
-3.4	548.0
-3.5	553.0
-3.6	495.0
-3.7	519.0
-3.8	531.0
-3.9	566.0
-4.0	564.0
-4.1	577.0
-4.2	548.0
-4.3	585.0
-4.4	586.0
-4.5	647.0
-4.6	658.0
-4.7	606.0
-4.8	647.0
-4.9	619.0
-5.0	653.0
-5.1	670.0
-5.2	664.0
-5.3	765.0
-5.4	743.0
-5.5	824.0
-5.6	733.0
-5.7	743.0
-5.8	790.0
-5.9	826.0
-6.0	828.0
-6.1	851.0
-6.2	881.0
-6.3	853.0
-6.4	899.0
-6.5	914.0
-6.6	1002.0
-6.7	959.0
-6.8	1004.0
-6.9	1071.0
-7.0	1033.0
-7.1	1112.0
-7.2	1198.0
-7.3	1197.0
-7.4	1230.0
-7.5	1287.0
-7.6	1338.0
-7.7	1404.0
-7.8	1456.0
-7.9	1504.0
-8.0	1538.0
-8.1	1744.0
-8.2	1767.0
-8.3	1790.0
-8.4	1786.0
-8.5	1892.0
-8.6	2097.0
-8.7	2105.0
-8.8	2245.0
-8.9	2381.0
-9.0	2540.0
-9.1	2630.0
-9.2	2768.0
-9.3	2907.0
-9.4	3070.0
-9.5	3308.0
-9.6	3387.0
-9.7	3470.0
-9.8	3533.0
-9.9	3554.0
-10.0	3829.0
-10.1	3943.0
-10.2	4100.0
-10.3	4218.0
-10.4	4350.0
-10.5	4458.0
-10.6	4431.0
-10.7	4578.0
-10.8	4644.0
-10.9	4650.0
-11.0	4560.0
-11.1	4706.0
-11.2	4555.0
-11.3	4422.0
-11.4	4381.0
-11.5	4292.0
-11.6	4103.0
-11.7	4088.0
-11.8	3938.0
-11.9	3746.0
-12.0	3666.0
-12.1	3501.0
-12.2	3367.0
-12.3	3275.0
-12.4	3130.0
-12.5	2974.0
-12.6	2847.0
-12.7	2550.0
-12.8	2516.0
-12.9	2370.0
-13.0	2258.0
-13.1	2183.0
-13.2	1987.0
-13.3	1893.0
-13.4	1785.0
-13.5	1692.0
-13.6	1644.0
-13.7	1564.0
-13.8	1516.0
-13.9	1422.0
-14.0	1374.0
-14.1	1285.0
-14.2	1258.0
-14.3	1212.0
-14.4	1168.0
-14.5	1175.0
-14.6	1075.0
-14.7	1113.0
-14.8	1067.0
-14.9	1001.0
-15.0	1025.0
-15.1	913.0
-15.2	987.0
-15.3	904.0
-15.4	927.0
-15.5	897.0
-15.6	813.0
-15.7	861.0
-15.8	912.0
-15.9	850.0
-16.0	806.0
-16.1	788.0
-16.2	814.0
-16.3	752.0
-16.4	762.0
-16.5	718.0
-16.6	725.0
-16.7	728.0
-16.8	698.0
-16.9	717.0
-17.0	672.0
-17.1	619.0
-17.2	711.0
-17.3	624.0
-17.4	669.0
-17.5	654.0
-17.6	629.0
-17.7	632.0
-17.8	624.0
-17.9	613.0
-18.0	608.0
-18.1	581.0
-18.2	576.0
-18.3	570.0
-18.4	548.0
-18.5	564.0
-18.6	548.0
-18.7	533.0
-18.8	571.0
-18.9	517.0
-19.0	526.0
-19.1	534.0
-19.2	503.0
-19.3	531.0
-19.4	532.0
-19.5	505.0
-19.6	523.0
-19.7	480.0
-19.8	481.0
-19.9	455.0
-20.0	459.0
