#Distance (mm)	Counts
0.0	333.0
-0.1	295.0
-0.2	325.0
-0.3	353.0
-0.4	361.0
-0.5	343.0
-0.6	343.0
-0.7	370.0
-0.8	372.0
-0.9	330.0
-1.0	336.0
-1.1	401.0
-1.2	400.0
-1.3	372.0
-1.4	391.0
-1.5	394.0
-1.6	398.0
-1.7	420.0
-1.8	414.0
-1.9	421.0
-2.0	449.0
-2.1	401.0
-2.2	397.0
-2.3	400.0
-2.4	443.0
-2.5	465.0
-2.6	467.0
-2.7	484.0
-2.8	514.0
-2.9	497.0
-3.0	479.0
-3.1	529.0
-3.2	520.0
-3.3	548.0
-3.4	531.0
-3.5	528.0
-3.6	591.0
-3.7	590.0
-3.8	557.0
-3.9	604.0
-4.0	614.0
-4.1	630.0
-4.2	629.0
-4.3	697.0
-4.4	668.0
-4.5	754.0
-4.6	723.0
-4.7	760.0
-4.8	790.0
-4.9	831.0
-5.0	880.0
-5.1	891.0
-5.2	927.0
-5.3	963.0
-5.4	979.0
-5.5	1076.0
-5.6	1172.0
-5.7	1169.0
-5.8	1210.0
-5.9	1278.0
-6.0	1341.0
-6.1	1362.0
-6.2	1482.0
-6.3	1489.0
-6.4	1560.0
-6.5	1653.0
-6.6	1712.0
-6.7	1806.0
-6.8	1802.0
-6.9	1995.0
-7.0	1989.0
-7.1	2011.0
-7.2	2143.0
-7.3	2105.0
-7.4	2128.0
-7.5	2192.0
-7.6	2141.0
-7.7	2172.0
-7.8	2138.0
-7.9	2243.0
-8.0	2144.0
-8.1	2143.0
-8.2	2117.0
-8.3	1984.0
-8.4	2019.0
-8.5	1954.0
-8.6	1817.0
-8.7	1802.0
-8.8	1713.0
-8.9	1649.0
-9.0	1522.0
-9.1	1527.0
-9.2	1400.0
-9.3	1317.0
-9.4	1370.0
-9.5	1307.0
-9.6	1346.0
-9.7	1227.0
-9.8	1213.0
-9.9	1149.0
-10.0	1193.0
-10.1	1158.0
-10.2	1151.0
-10.3	1106.0
-10.4	1117.0
-10.5	1094.0
-10.6	1130.0
-10.7	1118.0
-10.8	1109.0
-10.9	1153.0
-11.0	1252.0
-11.1	1206.0
-11.2	1339.0
-11.3	1300.0
-11.4	1375.0
-11.5	1403.0
-11.6	1429.0
-11.7	1470.0
-11.8	1478.0
-11.9	1510.0
-12.0	1588.0
-12.1	1563.0
-12.2	1777.0
-12.3	1736.0
-12.4	1795.0
-12.5	1796.0
-12.6	1921.0
-12.7	2018.0
-12.8	1996.0
-12.9	2049.0
-13.0	2149.0
-13.1	2166.0
-13.2	2254.0
-13.3	2079.0
-13.4	2203.0
-13.5	2145.0
-13.6	2108.0
-13.7	2109.0
-13.8	2081.0
-13.9	2009.0
-14.0	1946.0
-14.1	1861.0
-14.2	1819.0
-14.3	1911.0
-14.4	1715.0
-14.5	1581.0
-14.6	1520.0
-14.7	1498.0
-14.8	1408.0
-14.9	1319.0
-15.0	1306.0
-15.1	1290.0
-15.2	1134.0
-15.3	1100.0
-15.4	1046.0
-15.5	966.0
-15.6	970.0
-15.7	944.0
-15.8	824.0
-15.9	796.0
-16.0	832.0
-16.1	754.0
-16.2	736.0
-16.3	652.0
-16.4	699.0
-16.5	678.0
-16.6	669.0
-16.7	638.0
-16.8	569.0
-16.9	589.0
-17.0	629.0
-17.1	596.0
-17.2	577.0
-17.3	536.0
-17.4	581.0
-17.5	518.0
-17.6	544.0
-17.7	528.0
-17.8	515.0
-17.9	479.0
-18.0	505.0
-18.1	507.0
-18.2	499.0
-18.3	486.0
-18.4	507.0
-18.5	439.0
-18.6	440.0
-18.7	471.0
-18.8	483.0
-18.9	425.0
-19.0	421.0
-19.1	398.0
-19.2	434.0
-19.3	450.0
-19.4	374.0
-19.5	397.0
-19.6	429.0
-19.7	399.0
-19.8	436.0
-19.9	391.0
-20.0	400.0
